LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
Team member - risk capital,,,"Lily Chan, PhD","Chief Executive Officer, NUS EnterpriseDr. Lily Chan leads NUS Enterprise at the National University of Singapore (NUS), with the vision to inject an enterprise dimension to NUS teaching and research involving the University's students, staff and alumni.  As the Chief Executive Officer, Dr. Chan spearheads strategies and initiatives to promote industry collaboration and business ventures for the University. Under her leadership, the unique NUS Overseas Colleges (NOC) programme has expanded to include eight overseas hubs (Silicon Valley, Philadelphia, New York, Stockholm, Israel, Beijing, Shanghai, and India), where promising NUS students gain firsthand entrepreneurial experience through full-time internships and entrepreneurship courses. Closet to home, nearly 300 start-up companies have been launched from NUS Enterprise under the tenure of Dr. Chan.  Prior to joining NUS in 2006, Dr. Chan held the position of Managing Director, Investments, of Bio*One Capital Pte Ltd, an investment arm of the Singapore Economic Development Board with focus on expanding the growth of the biomedical science industry in Singapore.",lily-chan.jpg,,,https://www.linkedin.com/pub/lily-chan/7/955/8b6,,,,,,,,,,,,,,
Team member - champion,,,Wong Meng Weng,"Social Engineer, The Joyful Frog Digital Incubator (JFDI)Wong Meng Weng, while in Philadelphia and Silicon Valley, founded two Internet dot-coms, and led the SPF opensource standard (RFC4408 & RFC6652) to successful worldwide rollout. His was also involved in two previous ventures, pobox.com and karmasphere.com.In Singapore, Meng is deeply engaged with the startup ecosystem in several roles: as an angel investor, a board member of the Business Angel Network of South-East Asia, and most recently as founder of JFDI.Asia, Singapore's first seed accelerator. He designed a map of the money for the Media Entrepreneurs Guide to Singapore and maintains a web page for people new to the ecosystem. As a co-founder of Hackerspace.SG, he has organized and participates in Startup Weekend, TEDx, Barcamp, Startup Grind, and similar events. Meng earned a Bachelor's degree in Computer Science at the University of Pennsylvania (SEAS '97) and took MBA classes at the National University of Singapore (2000) while simultaneously working toward a Master of Knowledge Engineering.",wong-meng.jpg,,,https://www.linkedin.com/in/mengwong,,,,,,,,,,,,,,
Team member - corporate,,, Lay Lim Teo,"Senior Managing Director-ASEAN, Accenture Pte LtdLay Lim TEO is currently the Managing Director for ASEAN, one of 15 Geographic Units in Accenture's global organization - a role she has held since November 2011.  She concurrently holds the role of Managing Director for Singapore. Lay Lim joined Accenture in 1988. As a leader in Accenture, she has held various roles in starting up and running practice areas for Accenture in the Asia Pacific region - which include: The Customer Relationship Management practice for APAC, from 2000-2008, with 2 years based in Shanghai in 2006 and 2007, Accenture Analytics APAC, from 2008-2010, Accenture Sustainability Services APAC, from 2008-2010.Outside of Accenture, Lay Lim Teo is a board member of the Singapore Land Authority, and the Council for the Third Age. She is also on the Board of Advisors for the School of Information Systems at the Singapore Management University. In 2013 she was also appointed to the National Infocomm & Media Masterplan Steering Committee, and Chair of one of 5 workgroups for this national initiative.",lay-lim.jpg,,,https://www.linkedin.com/pub/lay-lim-teo/b/ab0/698,,,,,,,,,,,,,,
Team member - risk capital,,,Jeffrey Paine,"Founding Partner, Golden Gate VenturesJeffrey Paine is the founding partner of Golden Gate Ventures, an early stage technology incubator based in Singapore.  Jeff started and manages the Founder Institute in Singapore where he is currently overseeing its expansion in Southeast Asia. Since 2010 the Founder Institute in Singapore has graduated over 60 companies. Jeff spent the first eight years of his career in early stage venture and private equity in the US, North and South Asia. He co-founded a China market entry advisory firm which was then merged with a China mid-market private equity firm. He is currently an investor and advisor to Redmart, Tradegecko, Coda Payments, AtticTV, and Flutterscape/monoco. He is a Singapore native and graduated with a Bachelors of Business Administration (Information Systems) from the University of Southern California.",jeffrey-paine.jpg,,,https://www.linkedin.com/in/jeffreypaine,,,,,,,,,,,,,,
Team member - risk capital,,,Edgar Hardless,"Chief Executive Officer, SingTel Innov8Edgar Hardless was appointed CEO for SingTel Innov8, SingTel's corporate venture fund, on 1 April 2012. SingTel Innov8 has an initial fund size of S$200M and it invests in technologies in the fields of network capabilities, next generation devices, digital content services, and customer service enhancers.Edgar has been involved with Innov8 from its inception in November 2010 as Managing Director (Investments). Prior to this, he was Vice President of Strategic Investments responsible for coordinating and executing all mergers & acquisition activities undertaken by SingTel. He has been with SingTel for close to 10 years, having joined the company's International Group in June 2001 as a Director of International Finance and Operations. During his tenure, Edgar also set up and headed SingTel's first ever Group Innovations unit which was tasked with identifying new technologies and innovations that had the potential to have an impact on the telco industry and SingTel Group.Before SingTel, Edgar spent almost seven years with British Telecommunications (BT), the UK's largest telecommunications service provider, working in a number of strategy and corporate finance roles across the BT Group both in the UK and Asia Pacific.Edgar is an associate of the Institute of Chartered Accountants of England and Wales and holds a BSc (Hons) in Business Administration from the University of Bath in the UK.",edgar-hardless.jpg,,,http://innov8.singtel.com/team.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,
1,To be completed by REAP team (mostly publicly available data),,,,,,,,,,,,,,,,,,,,,
3,May not be public,,,,,,,,,,,,,,,,,,,,,
*,Public data,,,,,,,,,,,,,,,,,,,,,
To be completed at workshop 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
