LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
Team member - corporate,,,Anna Belomestnova,"Strategy Director, Moscow Innovation Development Centre.Anna is Strategy Director of Moscow Innovation Development Centre (MIDC), subordinated to Moscow City Government (inno.msk.ru). She has joined MIDC team following her aspiration to execute ambitious projects with significant social effect. Anna has over 12 years successful track record in management consulting in Big 4 in Russia, Ukraine and Kazakhstan. Progressed to Associate Director, led management consulting arm of KPMG in Ukraine. Unique blend of experience in complex restructuring and strategic development projects in a broad range of industries. Anna holds BA in Economics from Moscow State University and MA from New Economic School, completed a number of executive education programs, including INSEAD Strategy. Her hobbies include extreme water sports - kiteboarding, wakesurfing, yachting she also enjoys vocals and travelling.",anna-b.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Alexey Kostrov,"Executive Director, Moscow Seed Fund.Alexey has a broad experience of working in the Moscow city government where he supported the development of SMEs in the region. From 2006 to 2010 he worked as the Director of the noncommercial partnership ""Agency for the Development of Innovative Entrepreneurship,"" focusing on creating infrastructure for supporting innovative SMEs. The Moscow Seed Fund stimulates private venture investors' activities and forms favorable venture capital environment for innovative start-up development.",alexey-kostrov.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Alexander Galitsky,"Managing Partner, Almaz Capital Partners.Prior to his investment career, he created and led as CEO five successful companies in the field of software development, information security, internet services, telecommunications and microelectronics. Alexander is a holder of more than 30 patents. During the Economic Forum in Davos in 2000, Alexander Galitsky was named ""A pioneer in the technology field."" In 2012, he was nominated for best venture investor of the decade in Europe.",alexander-g.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Alexander Smbatyan ,"Head of supervisory council of the Centre for Innovation Development, Moscow Government, Advisor to the Moscow deputy Mayor.Alexander is a serial entrepreneur,  founder and CEO of Genome Ventures, a venture building company with portfolio companies in e-Health, e-Commerce, career guidance, social networking and fintech. Alexander advises the Deputy Mayor on the issues of Moscow's innovation policy, as well as develops frameworks for public-private partnership.",alexander-smbatyan.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Yury Alasheev,"CEO of Phyztech union.CEO of Phyztech union, organization founded by MIPT Alumni to support strategic development of MIPT. Director of MIPT strategic development center. Owner, Chairman of the Board of Agama, food industry holding.",yury-a.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Sergey Beshev,"Founder, Co-owner and CEO of the Medical clinics chain in Moscow, including projects in the cooperation with Moscow city government www.drclinics.ru Joint medical projects with Rosnano. Several consulting projects for retail (Healthy People pharmacy chain) and telecom (Virgin Connect, Good Line) industries. YPO Russian Chapter Executive Committee Member (http://www.ypo.org/). Previously JSC <Rosinter>, Restaurants Chain, CEO, President; Dircetor in a number of Telecom businesses - MTS, Acado, Megafon",sergey-b.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Eugeny Kuznetsov,"Deputy CEO, Executive Board Member of Russian Venture Company.RVC is a governmental fund of funds; this development institute is one of Russia's key tools in building its own national innovation system.The social development instruments range from education programs to shaping the mindset for the development of innovations in Russia. Previously - Foundation for promotion of science, education and medicine development, Imageland Edelman, Imageland PR.",eugeny-k.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Alexey Parabuchev,"Acting CEO of Moscow Innovation Development Centre, Moscow Government.Alexey has more than 15 years of experience in consulting projects related to strategy and organization development, territorial development and stakeholders' negotiation, business-trainings, corporate culture change, innovation management. Consulting projects were implemented for Russian regional government agencies and major Russian/international companies.",alexey-parabuchev.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
